transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,lys_r4,his_r1,his_r2,his_r3,his_r3,his_r4
3,B4,10,4,27,13,15,12,13,9,4,4,
3,B4,10,5,4,2,1,,2,3,,,
3,B4,10,6,,,,,,,,,
3,B5,10,3,49,,,,5,,,,
3,B5,10,4,13,20,17,12,1,2,2,2,
3,B5,10,5,1,1,,,1,,,,
3,B5,10,6,,,,,,,,,
3,B6,10,3,58,,,,2,,,,
3,B6,10,4,17,16,20,16,4,1,1,1,
3,B6,10,5,4,2,3,,,,,,
3,B6,10,6,,,,,,,,,
3,C1,10,3,,,,,21,,,,
3,C1,10,4,44,51,22,,1,,,,
3,C1,10,5,13,6,6,5,,,,,
3,C1,10,6,,,,,,,,,
3,C2,10,3,,,,,42,,,,
3,C2,10,4,18,24,13,28,2,7,,,
3,C2,10,5,8,11,4,11,1,,,,
3,C2,10,6,,,,,,,,,
3,C3,10,3,,,,,10,,,,
3,C3,10,4,31,34,25,26,1,,,,
3,C3,10,5,7,6,3,8,,,,,
3,C3,10,6,,,,,,,,,
3,C4,10,3,,,,,31,,,,
3,C4,10,4,12,15,10,16,5,8,7,,
3,C4,10,5,2,4,5,2,,,,,
3,C4,10,6,,,,,,,,,
3,C5,10,3,,,,,8,,,,
3,C5,10,4,67,,,,1,1,,,
3,C5,10,5,40,40,34,46,1,1,,,
3,C5,10,6,,,,,,,,,
3,C6,10,3,,,,,12,,,,
3,C6,10,4,15,15,,,3,2,,,
3,C6,10,5,3,2,8,4,,,,,
3,C6,10,6,,,,,,,,,
3,D1,10,3,,,,,4,3,6,,
3,D1,10,4,46,40,54,39,2,2,1,,
3,D1,10,5,4,114,4,,,,,,
3,D1,10,6,,,,,,,,,
3,D2,10,3,4,,,,0,,,,
3,D2,10,4,1,1,,,0,,,,
3,D2,10,5,,,,,0,,,,
3,D2,10,6,,,,,0,,,,
3,D3,10,3,,,,,15,44,40,,
3,D3,10,4,1,,,,5,8,,,
3,D3,10,5,,,,,2,2,1,,
3,D3,10,6,,,,,,,,,
3,D4,10,3,,,,,28,,,,
3,D4,10,4,,,,,3,5,5,,
3,D4,10,5,,,,,,,,,
3,D4,10,6,,,,,,,,,
3,D5,10,3,,,,,,,,,
3,D5,10,4,6,8,10,17,42,33,33,58,66
3,D5,10,5,1,1,3,,,,,,
3,D5,10,6,,,,,,,,,
3,D6,10,3,33,,,,2,4,8,,
3,D6,10,4,,,,,1,4,2,,
3,D6,10,5,,,,,,,,,
3,D6,10,6,,,,,,,,,
4,A1,10,3,,,,,3,11,,,
4,A1,10,4,,,,,,3,5,,
4,A1,10,5,3,4,,,,,2,,
4,A1,10,6,,,,,,,,,
4,A2,10,3,,,,,,,,,
4,A2,10,4,,,,,32,24,,,
4,A2,10,5,10,5,,,5,1,,,
4,A2,10,6,,,,,,,,,
4,A3,10,3,,,,,,,,,
4,A3,10,4,,,,,,,,,
4,A3,10,5,22,10,,,8,2,,,
4,A3,10,6,,,,,,,,,
4,A4,10,3,,,,,,,,,
4,A4,10,4,,,,,48,31,,,
4,A4,10,5,16,8,,,5,2,,,
4,A4,10,6,,,,,,,,,
4,A5,10,3,,,,,,,,,
4,A5,10,4,,,,,16,17,,,
4,A5,10,5,7,11,,,7,7,,,
4,A5,10,6,,,,,,,,,
4,A6,10,3,,,,,8,11,,,
4,A6,10,4,70,,,,3,2,,,
4,A6,10,5,7,9,,,,,,,
4,A6,10,6,,,,,,,,,
4,B1,10,3,,,,,,,,,
4,B1,10,4,,,,,14,12,,,
4,B1,10,5,11,11,,,2,2,,,
4,B1,10,6,,,,,,,,,
4,B2,10,3,,,,,8,12,,,
4,B2,10,4,,,,,2,2,,,
4,B2,10,5,34,19,,,,,,,
4,B2,10,6,,,,,,,,,
4,B3,10,3,,,,,49,45,,,
4,B3,10,4,45,,,,14,19,,,
4,B3,10,5,9,11,,,1,,,,
4,B3,10,6,,,,,,,,,
4,B4,10,3,,,,,28,24,,,
4,B4,10,4,62,,,,4,3,,,
4,B4,10,5,25,5,,,,,,,
4,B4,10,6,,,,,,,,,
4,B5,10,3,,,,,19,15,,,
4,B5,10,4,,,,,7,10,,,
4,B5,10,5,41,30,,,2,,,,
4,B5,10,6,,,,,,,,,
4,B6,10,3,,,,,1,2,,,
4,B6,10,4,,,,,1,,,,
4,B6,10,5,5,5,,,,,,,
4,B6,10,6,,,,,,,,,
4,C1,10,3,,,,,14,28,,,
4,C1,10,4,,,,,9,5,,,
4,C1,10,5,17,18,,,2,1,,,
4,C1,10,6,,,,,,,,,
4,C2,10,3,,,,,,,,,
4,C2,10,4,52,,,,20,19,,,
4,C2,10,5,10,5,,,3,4,,,
4,C2,10,6,,,,,,,,,
4,C3,10,3,,,,,7,3,,,
4,C3,10,4,,,,,,,,,
4,C3,10,5,34,14,,,,,,,
4,C3,10,6,,,,,,,,,
4,C4,10,3,,,,,,,,,
4,C4,10,4,,,,,14,10,,,
4,C4,10,5,30,5,,,4,3,,,
4,C4,10,6,,,,,,,,,
4,C5,10,3,,,,,23,31,,,
4,C5,10,4,,,,,10,8,,,
4,C5,10,5,17,10,,,,,,,
4,C5,10,6,,,,,,,,,
4,C6,10,3,,,,,22,,,,
4,C6,10,4,,,,,3,3,,,
4,C6,10,5,8,5,,,1,,,,
4,C6,10,6,,,,,,,,,
4,D1,10,3,,,,,3,34,,,
4,D1,10,4,78,83,,,3,3,,,
4,D1,10,5,10,4,,,,,,,
4,D1,10,6,,,,,,,,,
4,D2,10,3,,,,,,,,,
4,D2,10,4,,,,,,,,,
4,D2,10,5,,,,,,,,,
4,D2,10,6,,,,,,,,,
4,D3,10,3,0,,,,2,,,,
4,D3,10,4,0,,,,,,,,
4,D3,10,5,0,,,,,,,,
4,D3,10,6,0,,,,,,,,
4,D4,10,3,0,,,,1,2,,,
4,D4,10,4,0,,,,,,,,
4,D4,10,5,0,,,,,,,,
4,D4,10,6,0,,,,,,,,
4,D5,10,3,,,,,,,,,
4,D5,10,4,49,43,,,106,,,,
4,D5,10,5,4,6,,,12,12,,,
4,D5,10,6,,,,,,,,,
4,D6,10,3,,,,,,,,,
4,D6,10,4,,,,,,,,,
